# id    length  x       y       z       rot_z   rot_y   rot_x
68 0.4000 -1.2500 -1.2500 0.0 0.0 0.0 0.0
69 0.4000 -0.2500 -1.2500 0.0 0.0 0.0 0.0
70 0.4000 0.7500 -1.2500 0.0 0.0 0.0 0.0
71 0.4000 -0.7500 -0.7500 0.0 0.0 0.0 0.0
72 0.4000 0.2500 -0.7500 0.0 0.0 0.0 0.0
73 0.4000 1.2500 -0.7500 0.0 0.0 0.0 0.0
74 0.4000 -1.2500 -0.2500 0.0 0.0 0.0 0.0
75 0.4000 -0.2500 -0.2500 0.0 0.0 0.0 0.0
76 0.4000 0.7500 -0.2500 0.0 0.0 0.0 0.0
77 0.4000 -0.7500 0.2500 0.0 0.0 0.0 0.0
78 0.4000 0.2500 0.2500 0.0 0.0 0.0 0.0
79 0.4000 1.2500 0.2500 0.0 0.0 0.0 0.0
80 0.4000 -1.2500 0.7500 0.0 0.0 0.0 0.0
81 0.4000 -0.2500 0.7500 0.0 0.0 0.0 0.0
82 0.4000 0.7500 0.7500 0.0 0.0 0.0 0.0
83 0.4000 -0.7500 1.2500 0.0 0.0 0.0 0.0
84 0.4000 0.2500 1.2500 0.0 0.0 0.0 0.0
85 0.4000 1.2500 1.2500 0.0 0.0 0.0 0.0
86 0.15 -0.7500 -1.125 0.0 0.0 0.0 0.0
87 0.15 0.2500 -1.12500 0.0 0.0 0.0 0.0
88 0.15 1.2500 -1.12500 0.0 0.0 0.0 0.0
89 0.15 -1.2500 -0.625 0.0 0.0 0.0 0.0
90 0.15 -0.2500 -0.625 0.0 0.0 0.0 0.0
91 0.15 0.7500 -0.625 0.0 0.0 0.0 0.0
92 0.15 -0.7500 -0.125 0.0 0.0 0.0 0.0
93 0.15 0.2500 -0.12500 0.0 0.0 0.0 0.0
94 0.15 1.2500 -0.125 0.0 0.0 0.0 0.0
95 0.15 -1.2500 0.375 0.0 0.0 0.0 0.0
96 0.15 -0.2500 0.375 0.0 0.0 0.0 0.0
97 0.15 0.7500 0.375 0.0 0.0 0.0 0.0
98 0.150 -0.7500 0.875 0.0 0.0 0.0 0.0
99 0.15 0.2500 0.875 0.0 0.0 0.0 0.0
100 0.15 1.2500 0.875 0.0 0.0 0.0 0.0
101 0.15 -1.2500 1.375 0.0 0.0 0.0 0.0
102 0.15 -0.2500 1.375 0.0 0.0 0.0 0.0
103 0.150 0.7500 1.375 0.0 0.0 0.0 0.0
104 0.15 -0.3125 -1.85 0.0 0.0 0.0 0.0
105 0.15 0.3125 -1.85 0.0 0.0 0.0 0.0
106 0.15 0.9375 -1.85 0.0 0.0 0.0 0.0
107 0.15 -0.9375 -1.85 0.0 0.0 0.0 0.0
108 0.0150 -0.7500 -1.25 0.0 0.0 0.0 0.0
109 0.015 0.2500 -1.2500 0.0 0.0 0.0 0.0
110 0.015 1.2500 -1.2500 0.0 0.0 0.0 0.0
111 0.015 -1.2500 -0.7500 0.0 0.0 0.0 0.0
112 0.0150 -0.2500 -0.7500 0.0 0.0 0.0 0.0
113 0.0150 0.7500 -0.7500 0.0 0.0 0.0 0.0
114 0.0150 -0.7500 -0.2500 0.0 0.0 0.0 0.0
115 0.0150 0.2500 -0.2500 0.0 0.0 0.0 0.0
116 0.0150 1.2500 -0.2500 0.0 0.0 0.0 0.0
117 0.0150 -1.2500 0.2500 0.0 0.0 0.0 0.0
118 0.0150 -0.2500 0.2500 0.0 0.0 0.0 0.0
119 0.0150 0.7500 0.2500 0.0 0.0 0.0 0.0
120 0.0150 -0.7500 0.7500 0.0 0.0 0.0 0.0
121 0.0150 0.2500 0.7500 0.0 0.0 0.0 0.0
122 0.0150 1.2500 0.7500 0.0 0.0 0.0 0.0
123 0.0150 -1.2500 1.2500 0.0 0.0 0.0 0.0
124 0.0150 -0.2500 1.2500 0.0 0.0 0.0 0.0
125 0.0150 0.7500 1.2500 0.0 0.0 0.0 0.0
126 0.015 -0.3125 -2.0 0.0 0.0 0.0 0.0
127 0.015 0.3125 -2.0 0.0 0.0 0.0 0.0
128 0.015 0.9375 -2.0 0.0 0.0 0.0 0.0
129 0.015 -0.9375 -2.0 0.0 0.0 0.0 0.0
130 0.25 -1.37 -1.625 0.0 0.0 0.0 0.0
131 0.25 1.37 -1.625 0.0 0.0 0.0 0.0
132 0.25 1.37 1.625 0.0 0.0 0.0 0.0
133 0.25 -1.37 1.625 0.0 0.0 0.0 0.0
