USING MAIN IMPL
Loaded DRONE_NAME=drone21
Loaded DRONE_COLOR=black
Loaded LOG_LEVEL=INFO
Loaded FLIGHT_IMPL=main
Loaded ROVER_IMPL=mock
Loaded CAMERA_IMPL=mock
Loaded COMM_IMPL=wifi
Loaded CAMERA_API_URL=http://192.168.1.119:8001/api/positions
Loaded ALG_MODE=cluster2
Loaded CLUSTER_HOSTFILE=/home/pi/HotDrone2/cluster_hosts
Loaded CLUSTER_NP=4
INITIALIZING COMM_IMPL: wifi
[drone21] 22:38:16 - INFO - WifiEspController initialized on 0.0.0.0:47000, leader=True, drone=drone21
[drone21] 22:38:16 - INFO - Custom message callback set
[drone21] 22:38:16 - INFO - ESP message handler registered
[drone21] 22:38:16 - INFO - Available drones: ['drone15', 'drone21']
[drone21] 22:38:16 - INFO - Drone role: king, color: black, initial_letter: e, team: black
[drone21] 22:38:16 - INFO - Drone drone15 mapped to unique role: queen
[drone21] 22:38:16 - INFO - Drone drone21 mapped to unique role: king
[drone21] 22:38:16 - INFO - Camera controller initialized: URL=http://192.168.1.119:8001/api/positions
[drone21] 22:38:16 - INFO - Mock camera controller bound to http://192.168.1.119:8001/api/positions
[drone21] 22:38:16 - INFO - Our team: black
[drone21] 22:38:16 - INFO - Starting chess drone MAIN LOOP (dynamic leadership)...
[drone21] 22:38:16 - INFO - AM I LEADER? True
[drone21] 22:38:16 - INFO - === Leader run_once call ===
[camera] 22:38:16 - INFO - Camera controller initialized: URL=http://192.168.1.119:8001/api/positions
[camera] 22:38:16 - INFO - Mock camera controller bound to http://192.168.1.119:8001/api/positions
GOT BOARD: 3qk3/8/8/8/8/8/PPPPPPPP/RNBQKBNR w - - 0 1
[drone21] 22:38:16 - INFO - Not our turn. Current turn is white, we are black. Waiting.
[drone21] 22:38:16 - INFO - AM I LEADER? True
[drone21] 22:38:16 - INFO - AM I LEADER? True
[drone21] 22:38:16 - INFO - AM I LEADER? True
[drone21] 22:38:16 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:17 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:18 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
[drone21] 22:38:19 - INFO - AM I LEADER? True
